sep=;
RegNumber;Comp;Pos;Lap;LapTime;RaceTime;LapStat;SessNumber;Driver
4;MKA GIRLS+1;1;22;31463;703846;;1;Петров Дмитрий
3;CEAT;2;22;31188;705058;;1;Кузнецов Антон
6;CRAZYTRAIN;3;22;31672;708269;;1;Шамаев Дмитрий
5;RAVE STORM;6;20;31313;714296;;1;Тишков Павел
1;MKA2;8;19;31502;715071;;1;Касьянов Алексей
2;PATYSSON;4;22;31452;733573;;1;Андронова Элина
8;MKA;7;20;31520;734909;;1;Томбасов Артем
4;MKA GIRLS+1;1;23;31482;735328;;1;Петров Дмитрий
7;PHOENIX RT;5;22;32644;735708;LongLight;1;Басов Иван
3;CEAT;2;23;31365;736423;;1;Кузнецов Антон
6;CRAZYTRAIN;3;23;31757;740026;;1;Шамаев Дмитрий
5;RAVE STORM;6;21;31266;745562;;1;Тишков Павел
1;MKA2;8;20;31491;746562;;1;Касьянов Алексей
2;PATYSSON;4;23;31600;765173;;1;Андронова Элина
8;MKA;7;21;31696;766605;;1;Томбасов Артем
4;MKA GIRLS+1;1;24;31600;766928;;1;Петров Дмитрий
7;PHOENIX RT;5;23;31632;767340;;1;Басов Иван
3;CEAT;2;24;31335;767758;;1;Кузнецов Антон
6;CRAZYTRAIN;3;24;31669;771695;;1;Шамаев Дмитрий
5;RAVE STORM;6;22;31262;776824;;1;Тишков Павел
1;MKA2;8;21;31464;778026;;1;Касьянов Алексей
2;PATYSSON;4;24;31461;796634;;1;Андронова Элина
8;MKA;7;22;31519;798124;;1;Томбасов Артем
4;MKA GIRLS+1;1;25;31638;798566;;1;Петров Дмитрий
7;PHOENIX RT;5;24;31576;798916;;1;Басов Иван
3;CEAT;2;25;31453;799211;;1;Кузнецов Антон
6;CRAZYTRAIN;3;25;31765;803460;;1;Шамаев Дмитрий
5;RAVE STORM;6;23;31241;808065;;1;Тишков Павел
1;MKA2;8;22;31456;809482;;1;Касьянов Алексей
2;PATYSSON;4;25;31564;828198;;1;Андронова Элина
8;MKA;7;23;31358;829482;;1;Томбасов Артем
4;MKA GIRLS+1;1;26;31448;830014;;1;Петров Дмитрий
7;PHOENIX RT;5;25;31457;830373;;1;Басов Иван
3;CEAT;2;26;31546;830757;;1;Кузнецов Антон
6;CRAZYTRAIN;3;26;31654;835114;;1;Шамаев Дмитрий
5;RAVE STORM;6;24;31290;839355;;1;Тишков Павел
1;MKA2;8;23;31606;841088;;1;Касьянов Алексей
2;PATYSSON;4;26;31521;859719;;1;Андронова Элина
8;MKA;7;24;31169;860651;;1;Томбасов Артем
4;MKA GIRLS+1;1;27;31454;861468;;1;Петров Дмитрий
7;PHOENIX RT;5;26;31419;861792;;1;Басов Иван
3;CEAT;2;27;31336;862093;;1;Кузнецов Антон
6;CRAZYTRAIN;3;27;31727;866841;;1;Шамаев Дмитрий
5;RAVE STORM;6;25;31228;870583;;1;Тишков Павел
1;MKA2;8;24;31584;872672;;1;Касьянов Алексей
2;PATYSSON;4;27;31495;891214;;1;Андронова Элина
8;MKA;7;25;31430;892081;;1;Томбасов Артем
4;MKA GIRLS+1;1;28;31372;892840;;1;Петров Дмитрий
3;CEAT;2;28;31585;893678;;1;Кузнецов Антон
7;PHOENIX RT;5;27;32302;894094;LongLight;1;Басов Иван
6;CRAZYTRAIN;3;28;31520;898361;;1;Шамаев Дмитрий
5;RAVE STORM;6;26;31233;901816;;1;Тишков Павел
1;MKA2;8;25;31497;904169;;1;Касьянов Алексей
2;PATYSSON;4;28;31625;922839;;1;Андронова Элина
8;MKA;7;26;31235;923316;;1;Томбасов Артем
4;MKA GIRLS+1;1;29;31435;924275;;1;Петров Дмитрий
3;CEAT;2;29;31359;925037;;1;Кузнецов Антон
7;PHOENIX RT;5;28;31408;925502;;1;Басов Иван
6;CRAZYTRAIN;3;29;31407;929768;;1;Шамаев Дмитрий
5;RAVE STORM;6;27;31261;933077;;1;Тишков Павел
8;MKA;7;27;31419;954735;;1;Томбасов Артем
2;PATYSSON;4;29;32317;955156;LongLight;1;Андронова Элина
4;MKA GIRLS+1;1;30;31688;955963;;1;Петров Дмитрий
3;CEAT;2;30;31473;956510;;1;Кузнецов Антон
7;PHOENIX RT;5;29;31361;956863;;1;Басов Иван
6;CRAZYTRAIN;3;30;31660;961428;;1;Шамаев Дмитрий
5;RAVE STORM;6;28;31241;964318;;1;Тишков Павел
1;MKA2;8;26;65682;969851;PitUser;1;Касьянов Алексей
8;MKA;7;28;31617;986352;;1;Томбасов Артем
2;PATYSSON;4;30;31446;986602;;1;Андронова Элина
4;MKA GIRLS+1;1;31;31417;987380;;1;Петров Дмитрий
3;CEAT;2;31;31366;987876;;1;Кузнецов Антон
7;PHOENIX RT;5;30;31482;988345;;1;Басов Иван
6;CRAZYTRAIN;3;31;31512;992940;;1;Шамаев Дмитрий
5;RAVE STORM;6;29;31234;995552;;1;Тишков Павел
1;MKA2;8;27;32301;1002152;;2;Сугробов Константин
8;MKA;7;29;31427;1017779;;1;Томбасов Артем
2;PATYSSON;4;31;31418;1018020;;1;Андронова Элина
4;MKA GIRLS+1;1;32;31398;1018778;;1;Петров Дмитрий
3;CEAT;2;32;31487;1019363;;1;Кузнецов Антон
7;PHOENIX RT;5;31;31382;1019727;;1;Басов Иван
6;CRAZYTRAIN;3;32;31611;1024551;;1;Шамаев Дмитрий
5;RAVE STORM;6;30;31148;1026700;;1;Тишков Павел
1;MKA2;8;28;31591;1033743;;2;Сугробов Константин
8;MKA;7;30;31438;1049217;;1;Томбасов Артем
2;PATYSSON;4;32;31534;1049554;;1;Андронова Элина
4;MKA GIRLS+1;1;33;31411;1050189;;1;Петров Дмитрий
3;CEAT;2;33;31270;1050633;;1;Кузнецов Антон
7;PHOENIX RT;5;32;31483;1051210;;1;Басов Иван
6;CRAZYTRAIN;3;33;31591;1056142;;1;Шамаев Дмитрий
5;RAVE STORM;6;31;31096;1057796;;1;Тишков Павел
1;MKA2;8;29;31378;1065121;;2;Сугробов Константин
8;MKA;7;31;31276;1080493;;1;Томбасов Артем
2;PATYSSON;4;33;31230;1080784;;1;Андронова Элина
4;MKA GIRLS+1;1;34;31394;1081583;;1;Петров Дмитрий
3;CEAT;2;34;31427;1082060;;1;Кузнецов Антон
7;PHOENIX RT;5;33;31331;1082541;;1;Басов Иван
6;CRAZYTRAIN;3;34;31758;1087900;;1;Шамаев Дмитрий
5;RAVE STORM;6;32;31299;1089095;;1;Тишков Павел
1;MKA2;8;30;31621;1096742;;2;Сугробов Константин
8;MKA;7;32;31288;1111781;;1;Томбасов Артем
2;PATYSSON;4;34;31342;1112126;;1;Андронова Элина
4;MKA GIRLS+1;1;35;31701;1113284;;1;Петров Дмитрий
3;CEAT;2;35;31512;1113572;;1;Кузнецов Антон
7;PHOENIX RT;5;34;31366;1113907;;1;Басов Иван
6;CRAZYTRAIN;3;35;31575;1119475;;1;Шамаев Дмитрий
5;RAVE STORM;6;33;31137;1120232;;1;Тишков Павел
1;MKA2;8;31;31386;1128128;;2;Сугробов Константин
8;MKA;7;33;31566;1143347;;1;Томбасов Артем
2;PATYSSON;4;35;31419;1143545;;1;Андронова Элина
3;CEAT;1;36;31782;1145354;;1;Кузнецов Антон
4;MKA GIRLS+1;2;36;32360;1145644;LongLight;1;Петров Дмитрий
7;PHOENIX RT;5;35;32020;1145927;LongLight;1;Басов Иван
6;CRAZYTRAIN;3;36;31565;1151040;;1;Шамаев Дмитрий
5;RAVE STORM;6;34;31137;1151369;;1;Тишков Павел
1;MKA2;8;32;31463;1159591;;2;Сугробов Константин
8;MKA;7;34;31367;1174714;;1;Томбасов Артем
2;PATYSSON;4;36;31448;1174993;;1;Андронова Элина
3;CEAT;1;37;31438;1176792;;1;Кузнецов Антон
4;MKA GIRLS+1;2;37;31649;1177293;;1;Петров Дмитрий
7;PHOENIX RT;5;36;31675;1177602;;1;Басов Иван
5;RAVE STORM;6;35;31208;1182577;;1;Тишков Павел
6;CRAZYTRAIN;3;37;32329;1183369;LongLight;1;Шамаев Дмитрий
1;MKA2;8;33;31377;1190968;;2;Сугробов Константин
8;MKA;7;35;31394;1206108;;1;Томбасов Артем
2;PATYSSON;4;37;31430;1206423;;1;Андронова Элина
3;CEAT;1;38;31321;1208113;;1;Кузнецов Антон
7;PHOENIX RT;5;37;31468;1209070;;1;Басов Иван
4;MKA GIRLS+1;2;38;32229;1209522;LongLight;1;Петров Дмитрий
5;RAVE STORM;6;36;31099;1213676;;1;Тишков Павел
6;CRAZYTRAIN;3;38;31648;1215017;;1;Шамаев Дмитрий
1;MKA2;8;34;31226;1222194;;2;Сугробов Константин
8;MKA;7;36;31413;1237521;;1;Томбасов Артем
2;PATYSSON;4;38;31403;1237826;;1;Андронова Элина
3;CEAT;1;39;31177;1239290;;1;Кузнецов Антон
7;PHOENIX RT;5;38;31498;1240568;;1;Басов Иван
4;MKA GIRLS+1;2;39;31473;1240995;;1;Петров Дмитрий
5;RAVE STORM;6;37;31248;1244924;;1;Тишков Павел
6;CRAZYTRAIN;3;39;31576;1246593;;1;Шамаев Дмитрий
1;MKA2;8;35;31346;1253540;;2;Сугробов Константин
8;MKA;7;37;31287;1268808;;1;Томбасов Артем
2;PATYSSON;4;39;31341;1269167;;1;Андронова Элина
3;CEAT;1;40;31234;1270524;;1;Кузнецов Антон
7;PHOENIX RT;5;39;31434;1272002;;1;Басов Иван
4;MKA GIRLS+1;2;40;31445;1272440;;1;Петров Дмитрий
5;RAVE STORM;6;38;31492;1276416;Fight;1;Тишков Павел
6;CRAZYTRAIN;3;40;31569;1278162;;1;Шамаев Дмитрий
1;MKA2;8;36;31434;1284974;;2;Сугробов Константин
8;MKA;7;38;31534;1300342;;1;Томбасов Артем
2;PATYSSON;4;40;31421;1300588;;1;Андронова Элина
3;CEAT;1;41;31310;1301834;;1;Кузнецов Антон
7;PHOENIX RT;5;40;31467;1303469;;1;Басов Иван
4;MKA GIRLS+1;2;41;31424;1303864;;1;Петров Дмитрий
5;RAVE STORM;6;39;30995;1307411;;1;Тишков Павел
6;CRAZYTRAIN;3;41;31473;1309635;;1;Шамаев Дмитрий
1;MKA2;8;37;31482;1316456;;2;Сугробов Константин
2;PATYSSON;4;41;31600;1332188;;1;Андронова Элина
8;MKA;7;39;32298;1332640;LongLight;1;Томбасов Артем
3;CEAT;1;42;31577;1333411;;1;Кузнецов Антон
7;PHOENIX RT;5;41;31382;1334851;;1;Басов Иван
4;MKA GIRLS+1;2;42;31551;1335415;;1;Петров Дмитрий
5;RAVE STORM;6;40;31089;1338500;;1;Тишков Павел
6;CRAZYTRAIN;3;42;31513;1341148;;1;Шамаев Дмитрий
1;MKA2;8;38;31503;1347959;;2;Сугробов Константин
2;PATYSSON;4;42;31395;1363583;;1;Андронова Элина
8;MKA;7;40;31425;1364065;;1;Томбасов Артем
3;CEAT;1;43;31270;1364681;;1;Кузнецов Антон
7;PHOENIX RT;5;42;31327;1366178;;1;Басов Иван
4;MKA GIRLS+1;2;43;31374;1366789;;1;Петров Дмитрий
5;RAVE STORM;6;41;31381;1369881;;1;Тишков Павел
6;CRAZYTRAIN;3;43;31370;1372518;;1;Шамаев Дмитрий
1;MKA2;8;39;31267;1379226;;2;Сугробов Константин
2;PATYSSON;4;43;31312;1394895;;1;Андронова Элина
8;MKA;7;41;31355;1395420;;1;Томбасов Артем
3;CEAT;1;44;31370;1396051;;1;Кузнецов Антон
7;PHOENIX RT;5;43;31398;1397576;;1;Басов Иван
4;MKA GIRLS+1;2;44;31507;1398296;;1;Петров Дмитрий
5;RAVE STORM;6;42;31346;1401227;;1;Тишков Павел
6;CRAZYTRAIN;3;44;31343;1403861;;1;Шамаев Дмитрий
1;MKA2;8;40;31366;1410592;;2;Сугробов Константин
2;PATYSSON;4;44;31442;1426337;;1;Андронова Элина
8;MKA;7;42;31224;1426644;;1;Томбасов Артем
3;CEAT;1;45;31328;1427379;;1;Кузнецов Антон
7;PHOENIX RT;5;44;31375;1428951;;1;Басов Иван
4;MKA GIRLS+1;2;45;31549;1429845;;1;Петров Дмитрий
5;RAVE STORM;6;43;31162;1432389;;1;Тишков Павел
6;CRAZYTRAIN;3;45;31383;1435244;;1;Шамаев Дмитрий
1;MKA2;8;41;31149;1441741;;2;Сугробов Константин
2;PATYSSON;4;45;31428;1457765;;1;Андронова Элина
8;MKA;7;43;31446;1458090;;1;Томбасов Артем
3;CEAT;1;46;31311;1458690;;1;Кузнецов Антон
7;PHOENIX RT;5;45;31295;1460246;;1;Басов Иван
4;MKA GIRLS+1;2;46;31279;1461124;;1;Петров Дмитрий
5;RAVE STORM;6;44;31347;1463736;;1;Тишков Павел
6;CRAZYTRAIN;3;46;31286;1466530;;1;Шамаев Дмитрий
1;MKA2;8;42;31292;1473033;;2;Сугробов Константин
2;PATYSSON;4;46;31178;1488943;;1;Андронова Элина
8;MKA;7;44;31562;1489652;;1;Томбасов Артем
3;CEAT;1;47;31304;1489994;;1;Кузнецов Антон
7;PHOENIX RT;5;46;31354;1491600;;1;Басов Иван
4;MKA GIRLS+1;2;47;31434;1492558;;1;Петров Дмитрий
5;RAVE STORM;6;45;30986;1494722;;1;Тишков Павел
6;CRAZYTRAIN;3;47;31386;1497916;;1;Шамаев Дмитрий
1;MKA2;8;43;31330;1504363;;2;Сугробов Константин
2;PATYSSON;4;47;31403;1520346;;1;Андронова Элина
3;CEAT;1;48;31313;1521307;;1;Кузнецов Антон
8;MKA;7;45;32129;1521781;LongLight;1;Томбасов Артем
7;PHOENIX RT;5;47;31411;1523011;;1;Басов Иван
4;MKA GIRLS+1;2;48;31406;1523964;;1;Петров Дмитрий
5;RAVE STORM;6;46;31183;1525905;;1;Тишков Павел
6;CRAZYTRAIN;3;48;31292;1529208;;1;Шамаев Дмитрий
1;MKA2;8;44;31268;1535631;;2;Сугробов Константин
2;PATYSSON;4;48;31425;1551771;;1;Андронова Элина
3;CEAT;1;49;31170;1552477;;1;Кузнецов Антон
8;MKA;7;46;31254;1553035;;1;Томбасов Артем
7;PHOENIX RT;5;48;31334;1554345;;1;Басов Иван
5;RAVE STORM;6;47;31164;1557069;;1;Тишков Павел
6;CRAZYTRAIN;2;49;31447;1560655;;1;Шамаев Дмитрий
1;MKA2;8;45;31299;1566930;;2;Сугробов Константин
2;PATYSSON;3;49;31341;1583112;;1;Андронова Элина
3;CEAT;1;50;31239;1583716;;1;Кузнецов Антон
7;PHOENIX RT;4;49;31431;1585776;;1;Басов Иван
5;RAVE STORM;6;48;31153;1588222;;1;Тишков Павел
6;CRAZYTRAIN;2;50;31436;1592091;;1;Шамаев Дмитрий
4;MKA GIRLS+1;5;49;70285;1594249;PitUser;1;Петров Дмитрий
1;MKA2;8;46;31226;1598156;;2;Сугробов Константин
2;PATYSSON;3;50;31254;1614366;;1;Андронова Элина
7;PHOENIX RT;4;50;31544;1617320;;1;Басов Иван
5;RAVE STORM;6;49;31364;1619586;;1;Тишков Павел
8;MKA;7;47;67720;1620755;PitUser;1;Томбасов Артем
6;CRAZYTRAIN;1;51;31481;1623572;;1;Шамаев Дмитрий
4;MKA GIRLS+1;5;50;32299;1626548;;2;Магуайр Зоя
1;MKA2;8;47;31204;1629360;;2;Сугробов Константин
7;PHOENIX RT;2;51;31380;1648700;;1;Басов Иван
5;RAVE STORM;6;50;31354;1650940;;1;Тишков Павел
3;CEAT;3;51;68365;1652081;PitUser;1;Кузнецов Антон
8;MKA;7;48;32298;1653053;;2;Смирнов Валерий
6;CRAZYTRAIN;1;52;31564;1655136;;1;Шамаев Дмитрий
4;MKA GIRLS+1;4;51;31778;1658326;;2;Магуайр Зоя
1;MKA2;8;48;31242;1660602;;2;Сугробов Константин
5;RAVE STORM;5;51;31229;1682169;;1;Тишков Павел
2;PATYSSON;6;51;69183;1683549;PitUser;1;Андронова Элина
8;MKA;7;49;32037;1685090;;2;Смирнов Валерий
3;CEAT;2;52;33541;1685622;;2;Камарная Елена
6;CRAZYTRAIN;1;53;31538;1686674;;1;Шамаев Дмитрий
4;MKA GIRLS+1;3;52;31627;1689953;;2;Магуайр Зоя
1;MKA2;8;49;31341;1691943;;2;Сугробов Константин
7;PHOENIX RT;4;52;66345;1715045;PitUser;1;Басов Иван
2;PATYSSON;5;52;31711;1715260;;2;Рубасов Давид
8;MKA;7;50;31634;1716724;;2;Смирнов Валерий
3;CEAT;2;53;32249;1717871;;2;Камарная Елена
6;CRAZYTRAIN;1;54;31804;1718478;;1;Шамаев Дмитрий
4;MKA GIRLS+1;3;53;31841;1721794;;2;Магуайр Зоя
1;MKA2;8;50;31268;1723211;;2;Сугробов Константин
2;PATYSSON;4;53;31496;1746756;;2;Рубасов Давид
5;RAVE STORM;6;52;65365;1747534;PitUser;1;Тишков Павел
7;PHOENIX RT;5;53;32568;1747613;;2;Маркус Михаил
8;MKA;7;51;31605;1748329;;2;Смирнов Валерий
4;MKA GIRLS+1;2;54;31826;1753620;;2;Магуайр Зоя
1;MKA2;8;51;31461;1754672;;2;Сугробов Константин
3;CEAT;3;54;49861;1767732;Fight;2;Камарная Елена
2;PATYSSON;4;54;31468;1778224;;2;Рубасов Давид
7;PHOENIX RT;5;54;32067;1779680;;2;Маркус Михаил
8;MKA;7;52;32088;1780417;;2;Смирнов Валерий
5;RAVE STORM;6;53;33292;1780826;Fight;2;Иван Степанов
4;MKA GIRLS+1;1;55;31548;1785168;;2;Магуайр Зоя
